"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc.",
"5e6e6a17-8dcf-478b-8752-9a692d7a0da3",,"Mikrovlny jako v mé kuchyni?",,,,"11:07 05/09/2022",
"e3c31515-f3c8-4510-a9ad-e5b7ff85e951",,"Je mi to jedno",,,,"11:07 05/09/2022",
"b15862be-ca02-4e10-b3e8-25d9d670533f",,"Ne, to jsou mimozemšťani",,,,"11:07 05/09/2022",
"37722d28-0b61-4266-a5ba-6468f5829e60",,"Spíš se nás korporace snaží naprogramovat",,,,"11:07 05/09/2022",
"866514b0-4008-4e23-a58b-b83d180b1a9b",,"Zatracené krysy všude!",,,,"17:00 16/04/2024",
"788ad212-aff1-4e17-afc5-6858bb8fe4f4",,"Zatracená havěť",,,,"17:00 16/04/2024",
"be156b1d-9000-4c2a-aa5a-ab2cca3b571c",,"Kéž by je lidi nechali být",,,,"11:07 05/09/2022",
"3738404e-7ef7-4518-a46c-ff9eaf8cf110",,"Tenhle příběh neznáš, co?",,,,"11:07 05/09/2022",
"e6a75f8e-de07-4d0f-bc96-acdc1e955d7d",,"Jaký příběh?",,,,"11:07 05/09/2022",
"7cbb320c-2715-4748-a435-e096e37c7bd1",,"Ten chicagský",,,,"11:07 05/09/2022",
"d77324b0-f738-4e12-92ed-f6b0eee07cb4",,"Nikdy jsi nebyl v Chicagu",,,,"11:07 05/09/2022",
"a719478c-1729-4c9a-abe7-a6520c076753",,"Byl jsem. Jako dítě. Než se potopilo jako cihla",,,,"11:07 05/09/2022",
"71cc317e-6a3e-4781-94e0-459528db4c2c",,"Jo, jasně",,,,"11:07 05/09/2022",
"7ac08a05-585c-4a43-8d8f-913e44c69071",,"Než jsme se uvěznili v tomhle zatraceném bludišti",,,,"17:00 16/04/2024",
"7365bed2-1c79-4121-8f2a-16de5abc7d84",,"Nejsme uvěznění",,,,"11:07 05/09/2022",
"31200bde-7657-43d4-b316-50bdf8d48737",,"Ne? Kdy jsi byl naposledy někde jinde?",,,,"11:07 05/09/2022",
"3ac287a7-7bf2-4648-9705-43395e07bef1",,"Nemám čas. Moc práce",,,,"11:07 05/09/2022",
"69f63318-ebd5-4467-8f36-02c2e254166c",,"Práce, práce, práce. Jako křeček na zatraceném kole",,,,"11:07 05/09/2022",
"6b6bd145-617f-4a85-bf9c-2ed4f5dd2542",,"Dneska jsi ale veselý",,,,"11:07 05/09/2022",
"8b1a18ec-4bb5-4d83-a208-f1178eb8c565",,"Z čeho proboha mám být veselý?",,,,"11:07 05/09/2022",
"9226d9a8-32c2-4189-8caa-301f0ac6fc3c",,"Máš přece práci, ne?",,,,"11:07 05/09/2022",
"eb1ff4d7-b78e-4171-9ca2-7ba716c3f198",,"Jasně, jako každý jiný lůzr v tomhle městě",,,,"11:07 05/09/2022",
"82371d86-202b-4a34-80e7-028cc189114c",,"Co všichni ti lůzři v propastech?",,,,"11:07 05/09/2022",
"7c7e635d-353f-48fe-8823-eb31b23fdc28",,"Chceš tam skončit?",,,,"11:07 05/09/2022",
"c3ab1461-3fe9-4908-839d-0a5b954238b1",,"Tak chceš?",,,,"11:07 05/09/2022",
"641bfae4-316f-44ab-9261-3dbc6c599645",,"Víš, že ne",,,,"11:07 05/09/2022",
"f46eb61d-02fe-40e2-a7b0-c15240d1bab0",,"Tak přestaň s tím fňukáním. Podívej, Tanner Indigo říká...",,,,"11:07 05/09/2022",
"4322050e-7ad3-4b3d-9b91-d49fe7566233",,"Nechci slyšet jméno toho bastarda",,,,"11:07 05/09/2022",
"6efb9bf2-9fae-487b-9109-9fb7b7e22f13",,"Přestanu mluvit, jestli zmíníš toho bastarda",,,,"11:07 05/09/2022",
"500dbaa0-539f-4422-ac84-4a2f6452b36d",,"Jak chceš",,,,"11:07 05/09/2022",
"5e5d4ba7-52c0-4af4-a5ac-227ad77cc2e4",,"Proč mi neřekneš, jak to je?",,,,"11:07 05/09/2022",
"dc64e6e2-8df1-4cc8-b929-9f92898f884a",,"Proč mě s tím nenecháš na pokoji?",,,,"11:07 05/09/2022",
"04b663ce-ec41-4786-957e-27dc18796251",,"Musíš přestat. Je to pro tebe špatné.",,,,"11:07 05/09/2022",
"fcde51c6-794f-46ed-81d3-b5af8d2f6711",,"A ta Kola ne?",,,,"11:07 05/09/2022",
"43336f98-d35f-4ea4-99f1-91b418f759e1",,"To neříkám.",,,,"11:07 05/09/2022",
"d992e677-acd7-463d-adcd-d84449ded1d1",,"Pomáhá to.",,,,"11:07 05/09/2022",
"a262bdab-ee6e-4373-9eef-d38077f0d849",,"Víš, že jsem dostal povýšení?",,,,"11:07 05/09/2022",
"2df17ec5-d631-488d-bf4b-74f24c6d272d",,"Jo, ale na jak dlouho?",,,,"11:07 05/09/2022",
"9314798e-16b3-49c3-972a-c63ec37d4b12",,"Koho to zajímá?",,,,"11:07 05/09/2022",
"94a64876-4736-4778-b384-50111546400b",,"Mě ano",,,,"11:07 05/09/2022",
"61b70ef4-3412-4f3e-a42d-9a70bfe4828c",,"No, nemělo by tě. Nejsem dobrý",,,,"11:07 05/09/2022",
"52314d65-5dcd-4872-9e7c-a9db6a42591f",,"Počkej, nechoď",,,,"11:07 05/09/2022",
"76624105-b0b1-48bd-a893-068ddd6c4414",,"Proč ne?",,,,"11:07 05/09/2022",
"77a7ca06-0bed-4a9e-9f31-f1b7234d3bb5",,"Zůstaň a promluv si se mnou",,,,"11:07 05/09/2022",
"25acc535-d958-43e9-9a83-d46e79762390",,"O čem?",,,,"11:07 05/09/2022",
"737065a0-e660-42ef-ac92-e12f794f7dd9",,"O ničem. O čemkoliv. Na tom nesejde",,,,"11:07 05/09/2022",
"7ec7cbdb-29de-4387-9723-344a73c30878",,"Myslíš, že bych tě mohl někdy chytit doma večer?",,,,"11:07 05/09/2022",
"d8794fb4-d85b-4c28-aef7-c08531e60120",,"Předpokládám, že ano. Nikdy před devátou tam ale moc nejsem",,,,"11:07 05/09/2022",
"9203f55b-00f9-4e7c-98e3-5002ea82c5e7",,"Mohl bych se stavit na štamprli",,,,"11:07 05/09/2022",
"0bb36534-0dcd-46f9-b091-782d1cd6f667",,"Štamprle není něco, co si vezmeš na spaní?",,,,"11:07 05/09/2022",
"173bac52-0a06-4e55-82fd-5441d2a34d19",,"Máš ho?",,,,"11:07 05/09/2022",
"768863ab-4d0a-48ff-9a40-10d156f249db",,"Postel?",,,,"11:07 05/09/2022",
"a5e4925b-5cc3-4c5e-bbb2-45ffb9b6576f",,"Jasně",,,,"11:07 05/09/2022",
"30119648-513d-4a4e-ab95-a3b9609f7fac",,"Je to spíš gauč",,,,"11:07 05/09/2022",
"f80a2078-a290-4d67-bacb-5e439cf86bd2",,"Ještě lepší",,,,"11:07 05/09/2022",
"b396468c-c1af-4323-8eb8-0a7f42f49170",,"Zajímalo by mě, jestli vím, co myslíš?",,,,"11:07 05/09/2022",
"643f0d7c-a1b2-478e-8963-3f8c29e2afee",,"Zajímalo by mě",,,,"11:07 05/09/2022",
"4b6bcfcb-14b7-4d89-9b65-71c67c6725f4",,"[smích]",,,,"11:07 05/09/2022",
"844eae89-1c14-426d-86e7-4388439341a6",,"Není to na tebe?",,,,"11:07 05/09/2022",
"bc45653d-9f03-4d32-a784-7883ec396e07",,"Asi jo. Co to bude?",,,,"11:07 05/09/2022",
"a7a9d7b8-1dc8-4561-a247-3eebc79268ab",,"Starch a Rye",,,,"11:07 05/09/2022",
"6da6e542-d3db-44bc-a9f4-fc7803c20f47",,"Zní to jako silný drink",,,,"11:07 05/09/2022",
"5245b348-1ef4-4310-8291-68cfb78c1006",,"Ty tu ještě sedíš?",,,,"11:07 05/09/2022",
"1bf88884-5c3d-40ac-94a3-e2aeeb57ec20",,"To s těmi průkopníky...",,,,"11:07 05/09/2022",
"c35124d5-c111-4a05-b8ca-baa3beb88f34",,"Prosím, jen ne tohle",,,,"11:07 05/09/2022",
"61757527-a76a-47d9-87ea-3b76cef136e6",,"Dobře",,,,"11:07 05/09/2022",
"6bd13f0e-8f9a-49a6-880d-e06b5f51d7c6",,"Ale s těmi průkopníky je to tak, že jsou odolní vůči budoucnosti",,,,"11:07 05/09/2022",
"8778be8d-b285-4bae-b6bb-8fcf7802615e",,"Řekl jsi, že nebudeš",,,,"11:07 05/09/2022",
"d5a4aa15-d801-4b66-be96-357e088545c2",,"Ale je to důležité! Prosím?",,,,"11:07 05/09/2022",
"b272a1db-047c-4d75-9c2f-5e89069e4910",,"[povzdech] Dobře. Pět minut.",,,,"11:07 05/09/2022",
"46886b8c-2e6a-46f7-a0c3-4b03661abb66",,"Pět minut neexistuje",,,,"11:07 05/09/2022",
"2d02cd5d-cb82-4060-8c71-5eb1b4acbe54",,"Ne tam, kde skutečně jsme",,,,"11:07 05/09/2022",
"cea5fc51-245a-403a-bdca-58e8ada8e162",,"Mluvíš o Reformaci?",,,,"11:07 05/09/2022",
"767d8875-8a76-4e6a-af55-cffccc64d1bc",,"Není to místo. Je to stav bytí",,,,"11:07 05/09/2022",
"cd0edc56-dd99-4968-a396-a4c43a7e3fbf",,"Takže jak se tam dostaneme?",,,,"11:07 05/09/2022",
"e088bb8f-ff47-4640-95b8-8d2246482031",,"Tím, že se staneme celistvými.",,,,"11:07 05/09/2022",
"b21b6066-b527-467f-8225-fca4a8bb497e",,"Nevím, trochu mě to děsí",,,,"11:07 05/09/2022",
"2f98a5b2-1b9b-4db0-bee5-47f29c4fce56",,"Není to nádherná myšlenka?",,,,"11:07 05/09/2022",
"ee7b8227-9c9d-4882-9cab-81da63a61b9f",,"Neboj se, |other.firstname|",,,,"11:07 05/09/2022",
"53cce3d5-9e2e-44d9-826c-496da4dc1c78",,"Pojď se mnou příště",,,,"11:07 05/09/2022",
"0700914b-9d74-424d-bbd1-873897d46eba",,"Pustí mě?",,,,"11:07 05/09/2022",
"6a6879b2-fd49-46c8-8d5b-e04b76a8cbee",,"Jestli budeš se mnou",,,,"11:07 05/09/2022",
"139384fe-5eee-4e25-8aa8-0365c1beb4ec",,"Asi jo... Dobře",,,,"11:07 05/09/2022",
"4e9bf4f1-78b7-466f-b173-e481e5b98896",,"Budeš to milovat, |other.casualname|, přísahám",,,,"11:07 05/09/2022",
"76003f12-dc88-4a45-9469-ac095fcb1748",,"Byl to jen byznys",,,,"11:07 05/09/2022",
"7e00bc08-85c5-4dd9-a88e-3b18dacaa0e6",,"Co to proboha děláš s Gums?",,,,"11:07 05/09/2022",
"dbe5eab0-621f-44fe-8b7f-636af7c18265",,"Ztiš hlas, ano?",,,,"11:07 05/09/2022",
"c528eec1-757e-46d3-ac01-0563300a88e5",,"Byla to jen malá práce, nic vážného",,,,"11:07 05/09/2022",
"da4966e7-1e7d-4d0d-988f-6840e1e703d4",,"Jo jasně",,,,"11:07 05/09/2022",
"9db6cd07-5bf2-4d0d-9aa4-6af43bcb10d4",,"Chceš jít do toho, nebo ne?",,,,"11:07 05/09/2022",
"5102c658-8c64-4a06-9887-efe5f8cc18ce",,"Ne",,,,"11:07 05/09/2022",
"b662d887-2316-4fb7-9e0b-e644b39b87ab",,"Vrány jsou v tom pro tebe",,,,"11:07 05/09/2022",
"b8ffa75b-cf46-4453-9156-e233db13cf6f",,"... Kolik?",,,,"11:07 05/09/2022",
"e6c990e3-b0d8-4a80-8499-b501150f4495",,"Dej si další drink. Pak si promluvíme",,,,"11:07 05/09/2022",
"6cedb326-61a4-4c39-86dd-0e6035a3ae74",,"Tabulky",,,,"11:07 05/09/2022",
"9f3bf63c-090b-4a80-8bc9-d5ed94515470",,"Ty tabulky jsou hotové, najdeš je na lokálním serveru. Tím moje práce pro dnešek konečně končí. Nejsem fanoušek |job.employer.owner.firstname|, když hrozí přesčasy kvůli nim. Udělej si je sám?",,,,"17:00 16/04/2024",
"365268df-c4e2-406f-9214-611b729f9411",,"Uvidíme se,",,,,"11:07 05/09/2022",
"58031de7-7e06-4725-ab89-3602f0ba8ddf","LOC_IGNORE","|firstname|",,,,"11:07 05/09/2022",
"dde0257a-0055-498c-809b-bb0ccef1b6e4",,"Máš už ty lístky na zápas?",,,,"11:07 05/09/2022",
"832bcb49-1cee-4c1e-aa33-5319efbbe2ff",,"Díváš se na něco dobrého v televizi?",,,,"11:07 05/09/2022",
"b7699d4e-c890-446b-8c81-51a1818b0cca",,"Ty květiny u tebe doma voní tak krásně. Nemůžu na ně přestat myslet. Závidím ti tvůj zelený palec.",,,,"11:07 05/09/2022",
"d4788980-c85e-4638-811f-c6817251b483",,"Jak jde ten román? Nějaké šťavnaté kousky? (Víš, co myslím!)",,,,"11:07 05/09/2022",
"0b87c7dd-7fbe-4331-96b1-a61091c21473",,"Ta show byla docela vtipná! Dneska jsem se skoro párkrát rozchechtal.",,,,"11:07 05/09/2022",
"8cf536c8-8134-4d3f-b5eb-0c1073513d20",,"Nemůžu uvěřit, že jsi našel číslo 2 v tom kontejneru, co to sakra?",,,,"11:07 05/09/2022",
"a0871dd4-1119-43e5-991e-3e7320493a6d",,"Jeden Cabernet Sauvignon je na cestě k tobě, pokud za mě vezmeš směnu příští pondělí? Co na to říkáš?",,,,"11:07 05/09/2022",
"5d036ea3-2419-45bd-9836-f18365371b0a",,"Viděl jsi, co našli při vykopávkách vedle Parthenonu? Četl jsem to ve zprávách, vypadalo to, že je to tvůj šálek čaje.",,,,"11:07 05/09/2022",
"bcbf2975-526c-4e90-a3ad-b5a99e353af3",,"Co takhle pivo zítra večer?",,,,"11:07 05/09/2022",
"6d978dd5-6c91-432f-84ac-ffec048d2435",,"Ty nové kávové zrno, co jsi přinesl, mě fakt nakoplo.",,,,"17:00 16/04/2024",
"1ccf6e4f-b85b-4358-a297-47356f8d1b2e",,"Viděl jsi včera ten velký zápas?",,,,"11:07 05/09/2022",
"e2fa7a1b-c379-41a2-a30b-d82a01e7c200","LOC_IGNORE","|receiver.casualname|,",,,,"11:07 05/09/2022",
"0049f7ff-2628-4070-bf99-2889a3f2d0ff",,"Ahoj |other.casualname|!",,,,"17:00 16/04/2024",
"2da761e7-1863-4f3f-8517-d992a612f501",,"Ahoj |other.casualname|,",,,,"11:07 05/09/2022",
"4c5072c6-6ab6-4f40-ba96-09b616ed39da",,"Jaké bylo to žhavé rande?",,,,"11:07 05/09/2022",
"1829d0a3-0754-4516-a0ac-54710741145f",,"Žhavé rande",,,,"11:07 05/09/2022",
"a9836c3a-184e-4dcc-b7db-15709dd9bc52",,"|receiver.casualname|, co můžu říct... byla to naprostá katastrofa! Ukázalo se, že byli zuřivý Red Gum, hodiny mluvili o Starch a pak ani nenabídli, že se rozdělí o účet??",,,,"11:18 17/04/2024",
